aspect,B11,B12,B2,B3,B4,B8,bd_0-5,bd_15-30,bd_5-15,bsi,cec_0-5,cec_15-30,cec_5-15,clay_0-5,clay_15-30,clay_5-15,dem,evi,ndmi,ndvi,pet_apr,pet_aug,pet_dec,pet_feb,pet_jan,pet_jul,pet_jun,pet_mar,pet_may,pet_nov,pet_oct,pet_sep,ph_0-5,ph_15-30,ph_5-15,rain_apr,rain_aug,rain_dec,rain_feb,rain_jan,rain_jul,rain_jun,rain_mar,rain_may,rain_nov,rain_oct,rain_sep,sand_0-5,sand_15-30,sand_5-15,savi,silt_0-5,silt_15-30,silt_5-15,slope,soc_0-5,soc_15-30,soc_5-15,worldcover
-1.117017,0.9162347,0.9876337,1.3471519,1.2883307,1.1388766,0.964725,1.004662,0.99767333,1.0044216,0.051389746,1.2864952,1.3572519,1.390718,0.96936077,0.968046,0.97770995,1.7093872,0.8939772,0.52599573,0.710678,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,2.4113657,1.5587724,-1.3449128,-1.6183012,1.0490211,1.0137547,1.0117627,1.0007352,-0.36627823,1.4640414,-1.3367776,0.0,0.0,0.27699572,-0.31620568,1.0137513,0.51799047,-1.9174211,2.6571128,-1.9103754,0.9515618,0.95434546,0.94672096,0.8736551,1.0502877,1.0564005,1.0601442,0.98443705,0.80344284,0.7344438,0.63981,0.9266665
-1.5850368,0.48024756,0.3692566,0.34813482,0.5737414,0.24210662,0.87184787,0.95751184,0.9506505,0.9410707,-1.1582196,1.1747551,1.2530036,1.2606585,0.95169556,0.8962738,0.96958315,0.7060339,1.190366,1.2851584,0.92037046,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,2.4113657,1.5587724,-1.3449128,-1.6183012,1.0490211,0.9477406,0.9458033,0.93512076,-0.595005,1.4640414,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.7055182,-1.5649897,1.8832552,-1.724663,0.8726547,0.8895561,0.86063355,1.1157563,1.0056968,1.0260133,1.0059656,0.11006122,0.6844619,0.6452123,0.5705497,-0.80553365
-1.1516851,0.58405715,0.59461963,0.43671185,0.37510514,0.37132025,0.40029198,-1.1013803,-1.10268,-1.1019952,0.73864585,-1.0488718,-1.0520402,-1.0449402,-1.0886316,-1.0954039,-1.09461,-0.29731932,0.534579,-0.09232155,0.668173,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-1.6183012,1.0490211,-1.0986959,-1.0989399,-1.0989274,-0.82373166,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.7872225,1.0137513,0.7055182,-1.5649897,1.8832552,-1.724663,-1.1041776,-1.103964,-1.1064643,0.5441989,-1.0811585,-1.0808378,-1.0799086,0.11006122,-1.1002524,-1.0278782,-1.091697,-0.80553365
-0.1636434,0.09389518,0.025737805,0.14775637,-0.0472476,-0.06745925,-0.10503187,-1.1642473,-1.165377,-1.1653461,0.72936064,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,0.041422095,-0.2576584,0.40259483,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-1.6183012,1.0490211,-1.1647099,-1.1648993,-1.1645418,-1.0524584,0.82673717,-1.3367776,0.0,0.0,-0.71325034,-0.7872225,1.0137513,0.89304596,-1.2125584,1.8832552,-1.724663,-1.1706257,-1.1687534,-1.1710299,0.050217975,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.14836977,-0.50602067,-0.5086932,-0.20965596,-0.5165695,-0.46388167,-0.64210904,-1.1642473,-1.165377,-1.1653461,0.6725623,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,-0.5589936,-0.52657753,-0.029858135,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.5723805,1.5587724,-1.3449128,-1.6183012,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.2811852,0.82673717,-1.3367776,0.0,0.0,-0.71325034,-1.022731,-0.798329,1.0805737,-0.860127,1.1093975,-1.5389507,-1.1706257,-1.1687534,-1.1710299,-0.5455363,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.113701634,-0.6796826,-0.631147,-0.45655674,-0.7459823,-0.75162417,-0.81321496,-1.1642473,-1.165377,-1.1653461,0.9513884,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,-0.6713193,-0.9857309,-0.026083406,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.5723805,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.5099118,0.50808513,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.2681015,-0.860127,1.1093975,-1.5389507,-1.1706257,-1.1687534,-1.1710299,-0.66033304,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
-0.47565657,-0.61705136,-0.43834636,-0.20418027,-0.6845741,-0.6492944,-0.9563496,-0.8970628,-0.89891434,-0.8961049,2.3542728,-0.8365657,-0.8435438,-0.8439393,-0.89431477,-0.89803046,-0.89956814,-0.6735768,-0.9370277,-2.2736876,-0.2599214,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,-0.9006536,-0.9010616,-0.902084,-1.7386385,0.18943305,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.4556291,-0.5076956,0.33553985,-1.5389507,-0.9006801,-0.8946444,-0.8955501,-0.92627335,-0.8760402,-0.878256,-0.87222415,-0.76431465,-0.8947398,-0.871723,-0.83197093,-0.80553365
0.3737126,-0.17629898,-0.09360196,-0.100798406,-0.35048336,-0.32910535,-0.36369693,0.8789282,0.8722791,0.87771976,1.4100024,1.0965371,1.0560904,1.047834,0.8015416,0.8065586,0.7745413,-0.6735768,-0.27608433,-1.2617126,0.1027688,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,1.6072845,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,0.8487195,0.8468641,0.83669907,-1.7386385,0.18943305,-0.4795615,0.0,0.0,-1.7034963,-1.4937477,-0.798329,1.6431569,-0.5076956,0.33553985,-1.5389507,0.86019564,0.88457227,0.87785107,-0.27719823,0.916515,0.9145933,0.92469776,0.11006122,0.8142593,0.66752017,1.107317,-0.80553365
0.44304886,0.8154809,0.745585,0.6125578,0.690759,0.6767806,0.85519034,1.004662,0.99767333,1.0044216,-0.19047704,1.152407,1.0908397,1.0833048,0.89870006,0.9321599,0.88831574,0.32977644,0.8933144,0.6248299,0.82033974,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,0.48186,1.6072845,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-1.9673653,-0.12921901,-0.4795615,0.0,0.0,-1.7034963,-1.7292562,-0.798329,1.8306847,-0.15526426,-0.43831784,-1.3532382,0.99309194,1.0041835,1.0069822,0.8938646,1.0413696,1.0158842,1.0420846,0.98443705,0.80344284,0.7121359,1.0553718,-1.6716337
0.65105766,1.7823849,1.8891034,2.5070906,2.2914407,2.3513656,1.3112242,1.004662,1.0133476,1.0044216,1.3927215,1.0741891,1.032924,1.0123633,0.92519784,0.9261789,0.91269594,0.8314531,0.6195729,-0.33802143,0.51577014,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,1.6072845,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-2.196092,-0.12921901,-0.4795615,0.0,0.0,-2.1986194,-1.7292562,-0.798329,2.0182123,0.19716711,-0.43831784,-1.3532382,0.99724495,1.0191349,1.0026778,0.6524062,1.014615,1.0057551,1.0149953,0.11006122,0.7926264,0.6452123,0.9861114,0.9266665
-0.42365438,0.9733049,0.9697041,1.3109807,1.1303573,0.9915984,0.9891817,1.004662,1.0133476,1.0044216,0.026910692,1.018319,0.9518421,0.9414218,0.95169556,0.92019784,0.9370762,1.4585488,1.041195,0.49963406,0.78053623,0.99651074,0.3355815,-1.4414467,2.5442386,-2.6237507,0.48186,0.6456372,0.3139026,0.65633684,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-2.4248188,-0.4478711,0.3776546,0.0,0.0,-2.1986194,-1.9647646,-0.798329,2.2057402,0.19716711,-1.2121755,-1.3532382,0.99309194,1.0340862,1.0069822,0.98263526,0.9967786,0.98549694,0.96984655,-0.76431465,0.7818099,0.60059655,0.91685116,0.9266665
-0.23297966,0.85187256,0.8959516,0.9531421,0.94579196,0.7984262,0.9482303,1.004662,0.99767333,0.9885838,-0.042905968,1.1971031,1.3109193,1.3079529,0.96936077,0.9022548,1.010217,1.7093872,0.91731536,0.5313199,0.78910834,-0.9827391,1.9622583,-0.13680287,-2.8455732,2.8938377,1.9325757,1.6072845,1.9918731,1.5587724,-0.119926624,-0.28833294,1.0490211,1.0137547,1.0117627,1.0007352,-0.36627823,1.4640414,-1.3367776,0.0,0.0,0.27699572,-0.080697276,1.0137513,0.14293496,-1.9174211,2.6571128,-1.5389507,0.96817386,1.0041835,0.95102537,0.89423645,1.014615,1.0766587,1.0149953,0.11006122,0.760177,0.7344438,0.5705497,-0.80553365
-1.134351,0.84060585,0.6875154,0.9950875,1.2227535,0.6994213,1.4021955,0.95751184,0.9506505,0.9569084,-1.4112014,1.1971031,1.2530036,1.2724822,0.92519784,0.9321599,0.94520295,1.2077105,1.5086809,1.4838791,0.9720054,-0.9827391,1.1489199,-0.13680287,-2.8455732,2.8938377,1.2072178,1.6072845,1.9918731,1.5587724,-1.3449128,-0.28833294,1.0490211,0.98074764,0.978783,0.967928,-0.36627823,1.4640414,-1.3367776,0.0,0.0,0.27699572,-0.31620568,1.0137513,0.3304627,-1.5649897,1.8832552,-1.5389507,0.91833776,0.9094913,0.9036773,1.3723863,1.0324514,1.0260133,1.0330548,0.11006122,0.7709935,0.8236753,0.62249494,0.9266665
-1.4116961,0.6659057,0.6840926,0.70939267,0.6937537,0.5990736,0.5907667,-1.0699469,-1.0713314,-1.0703198,0.3682265,-1.0265237,-1.0288739,-1.021293,-1.0709665,-1.0714798,-1.0702298,0.07893813,0.5941294,0.20702873,0.6752829,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-1.3449128,-0.28833294,1.0490211,-1.0656887,-1.0659602,-1.0661201,-0.595005,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.51799047,-1.2125584,1.8832552,-1.5389507,-1.0792595,-1.0790449,-1.080638,0.5970247,-1.0544039,-1.0605797,-1.0528194,0.11006122,-1.067803,-1.0055703,-1.0570669,-0.80553365
0.044365376,-0.6526879,-0.62180585,-0.17156881,-0.48930594,-0.55272394,-0.6862059,-1.1642473,-1.165377,-1.1653461,0.22254007,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,-0.62884784,-0.3530006,-0.09110303,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-1.3449128,-0.28833294,1.0490211,-1.1647099,-1.1648993,-1.1645418,-0.82373166,0.82673717,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.7055182,-1.2125584,1.1093975,-1.3532382,-1.1706257,-1.1687534,-1.1710299,-0.62195987,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
-0.2156456,-1.1284217,-1.0493501,-0.776634,-1.1266264,-1.0461649,-1.253231,-1.1642473,-1.165377,-1.1653461,1.3207885,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.6735768,-1.2454729,-1.8543174,-0.6675419,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.0524584,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.7872225,-0.798329,0.89304596,-0.860127,1.1093975,-1.3532382,-1.1706257,-1.1687534,-1.1710299,-1.2379222,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
-0.18097746,-0.87252843,-0.7412997,-0.4991759,-0.90507853,-0.8504137,-1.1398915,-1.1642473,-1.165377,-1.1653461,2.2410042,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.9244151,-1.1494899,-2.4875436,-0.55166143,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.2811852,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-1.022731,-0.798329,1.0805737,-0.860127,0.33553985,-1.3532382,-1.1706257,-1.1687534,-1.1710299,-1.1415737,-1.152504,-1.1517415,-1.1521467,-0.76431465,-1.1543347,-1.0948018,-1.1436422,-0.80553365
0.061699443,-0.79635024,-0.6084963,-0.3174728,-0.80636036,-0.74974704,-1.142365,-1.1485305,-1.1497028,-1.1495085,2.4912543,-1.1047418,-1.1099559,-1.1040581,-1.1416272,-1.143252,-1.1433705,-0.798996,-1.2022803,-2.7471948,-0.65524286,0.0068858177,1.1489199,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,1.152888,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.1317029,-1.1319196,-1.1317346,-1.2811852,0.18943305,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.2681015,-0.5076956,0.33553985,-1.3532382,-1.1540136,-1.1538019,-1.1538124,-1.1951747,-1.1346675,-1.1314833,-1.1340871,-0.76431465,-1.1327018,-1.0724939,-1.1263272,-0.80553365
0.49505106,-0.58538306,-0.5225069,-0.31494582,-0.55779946,-0.5061422,-0.69378495,-1.0542301,-1.0556571,-1.0544821,0.29389587,-1.0041758,-1.0057077,-1.0094695,-1.0444688,-1.0535368,-1.0539763,-0.6735768,-0.70939106,-0.57056445,-0.36957607,0.0068858177,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-1.6183012,0.17176704,-1.0656887,-1.0659602,-1.0661201,-1.5099118,-0.12921901,-0.4795615,0.0,0.0,-1.2083734,-1.2582394,-0.798329,1.4556291,-0.15526426,0.33553985,-1.1675259,-1.0584944,-1.0591098,-1.0591162,-0.70218384,-1.0365676,-1.0301924,-1.0347598,-0.76431465,-1.0461701,-1.0055703,-1.0224367,0.9266665
0.58172137,1.1320298,1.176242,1.3408072,1.1050807,1.207892,0.76739943,-0.7241787,-0.7264973,-0.72189,1.0955025,-0.6577816,-0.66979676,-0.66658556,-0.74416083,-0.73654306,-0.74516,-0.17190018,0.5107028,-0.2510468,0.57635266,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-1.6183012,-0.7054871,-0.7356184,-0.7361629,-0.73804784,-1.7386385,-0.12921901,-0.4795615,0.0,0.0,-1.7034963,-1.4937477,-0.798329,1.6431569,-0.15526426,-0.43831784,-1.1675259,-0.7428658,-0.7401466,-0.7405927,0.53661215,-0.6887583,-0.6959323,-0.691629,0.11006122,-0.75412595,-0.73787576,-0.7453956,0.9266665
1.1364114,1.3939723,1.3776217,1.4491669,1.417837,1.5451858,1.136025,0.8789282,0.8722791,0.87771976,0.87866586,1.0294931,0.9750084,0.9887161,0.7750439,0.81253964,0.7745413,0.7060339,0.767352,-0.010864993,0.66743827,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.3139026,0.65633684,-1.3449128,-1.6183012,-0.7054871,0.8487195,0.8468641,0.83669907,-1.9673653,-0.4478711,0.3776546,0.0,0.0,-1.7034963,-1.7292562,-0.798329,1.8306847,0.19716711,-0.43831784,-1.1675259,0.81451255,0.81978285,0.8261986,0.80059814,0.9967786,0.96523875,0.99693584,0.98443705,0.71691126,0.5782887,0.67444015,0.9266665
0.14836977,0.6404872,0.47569057,-0.2829048,0.092964955,0.16038734,0.8370892,0.9889453,0.9819991,0.9885838,-0.53903323,1.1077111,1.0560904,1.0714812,0.87220234,0.90823585,0.880189,1.583968,1.2004906,0.90439606,0.9864654,0.99651074,0.3355815,-1.4414467,-0.15066734,0.13504352,0.48186,0.6456372,0.3139026,-0.24609877,-1.3449128,-1.6183012,-0.7054871,0.98074764,0.978783,0.967928,-2.196092,-0.7665231,0.3776546,0.0,0.0,-2.1986194,-1.7292562,-0.798329,2.0182123,0.54959846,-1.2121755,-0.98181355,0.9889389,0.9991997,0.9897647,1.1997815,1.0770423,1.0665296,1.0782037,0.11006122,0.760177,0.68982804,0.882221,-0.80553365
0.096367575,0.7919628,0.8603094,0.5987018,0.49420926,0.67507744,0.5086443,1.004662,0.99767333,0.9885838,1.0871658,1.2082771,1.3109193,1.3197764,0.942863,0.8484257,0.9614564,0.9568722,0.47987625,-0.27530882,0.63831574,-0.9827391,1.1489199,-0.13680287,-2.8455732,2.8938377,1.2072178,0.6456372,1.9918731,1.5587724,-0.119926624,-0.28833294,1.0490211,1.0137547,1.0117627,1.0007352,-0.13755153,1.4640414,-1.3367776,0.0,0.0,0.27699572,0.15481113,1.0137513,-0.04459278,-1.5649897,1.8832552,-1.3532382,0.9764799,1.0340862,0.97254723,0.51494765,1.0324514,1.0969169,1.0240251,-0.76431465,0.7818099,0.7790595,0.5705497,0.9266665
-0.5623269,0.7856504,0.7734854,0.8138462,0.76887405,0.7286951,0.77476704,1.004662,0.99767333,0.9885838,0.1877489,1.2753211,1.3456687,1.3788943,0.95169556,0.9142169,0.9370762,0.8314531,0.7621406,0.37767068,0.74157315,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-0.119926624,-0.28833294,1.0490211,1.0137547,1.0117627,1.0007352,-0.36627823,1.1453892,-1.3367776,0.0,0.0,0.27699572,-0.080697276,1.0137513,0.14293496,-1.5649897,1.8832552,-1.3532382,0.96402085,0.9842483,0.9682428,0.7553248,1.0413696,1.0766587,1.0511144,-0.76431465,0.82507575,0.8013674,0.6571251,0.9266665
-0.9090082,0.7497275,0.7416442,0.526726,0.4851726,0.56828165,0.6369789,0.6903274,0.68418777,0.70350486,0.44048268,0.98479706,1.0097578,1.0241868,0.6778854,0.68693835,0.6770204,0.20435728,0.6688154,0.1827643,0.7445082,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.5723805,1.5587724,-0.119926624,-0.28833294,1.0490211,0.74969834,0.7479249,0.7382774,-0.36627823,1.1453892,-1.3367776,0.0,0.0,-0.21812733,-0.31620568,1.0137513,0.3304627,-1.2125584,1.8832552,-1.1675259,0.68161625,0.6702689,0.6798499,0.68843126,0.7470695,0.75252783,0.75313234,0.11006122,0.5222151,0.60059655,0.5186045,-0.80553365
-0.6143291,-0.14426301,-0.13769232,0.016100397,-0.2146934,-0.18636192,-0.19582717,-1.0856636,-1.0870057,-1.0861576,0.18915716,-1.0488718,-1.0520402,-1.0449402,-1.0886316,-1.089423,-1.0864832,-0.4227385,-0.13781913,-0.15253913,0.15042962,-0.9827391,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-0.119926624,-0.28833294,1.0490211,-1.0986959,-1.0989399,-1.0989274,-0.595005,0.82673717,-1.3367776,0.0,0.0,-0.21812733,-0.5517141,1.0137513,0.51799047,-0.860127,1.1093975,-1.1675259,-1.1000246,-1.0989802,-1.0978556,-0.1310592,-1.0811585,-1.0808378,-1.0799086,-0.76431465,-1.0894359,-1.0278782,-1.074382,-0.80553365
-0.33698404,-1.2327876,-1.1740617,-1.0447711,-1.2555336,-1.1820456,-1.33194,-1.1642473,-1.165377,-1.1653461,1.2397643,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-0.798996,-1.3242074,-2.0944831,-0.93414336,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,1.2072178,0.6456372,1.152888,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.1647099,-1.1648993,-1.1645418,-0.82373166,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.5517141,-0.798329,0.7055182,-0.860127,1.1093975,-1.1675259,-1.1706257,-1.1687534,-1.1710299,-1.3232789,-1.152504,-1.1517415,-1.1521467,0.11006122,-1.1543347,-1.0948018,-1.1436422,-0.80553365
-0.75300163,-1.1047502,-1.0048155,-0.89677155,-1.168317,-1.0833144,-1.2909579,-1.1642473,-1.165377,-1.1653461,1.9975065,-1.1270899,-1.1331222,-1.1277053,-1.1592923,-1.161195,-1.159624,-1.0498343,-1.2969303,-2.719437,-0.8785636,0.0068858177,1.1489199,-0.13680287,-0.15066734,0.13504352,0.48186,0.6456372,0.7333952,0.65633684,-1.3449128,-0.28833294,0.17176704,-1.1647099,-1.1648993,-1.1645418,-1.0524584,0.50808513,-0.4795615,0.0,0.0,-0.71325034,-0.7872225,-0.798329,0.89304596,-0.5076956,0.33553985,-0.98181355,-1.1706257,-1.1687534,-1.1710299,-1.2949659,-1.152504,-1.1517415,-1.1521467,1.8588129,-1.1543347,-1.0948018,-1.1436422,-0.80553365
